snapshot 25
0,586422
1,406703
2,245189
3,142648
4,82141
5,46393
6,26735
7,15555
8,8653
9,5154
10,3041
11,1767
12,1059
13,569
14,333
15,208
16,108
17,68
18,29
19,23
20,27
21,14
22,11
23,5
24,2
25,2
26,1
snapshot 50
0,586227
1,407561
2,245055
3,142011
4,82181
5,47191
6,26654
7,15339
8,8750
9,5062
10,2808
11,1616
12,927
13,602
14,405
15,225
16,112
17,56
18,29
19,24
20,9
21,3
22,9
23,5
24,3
snapshot 75
0,585228
1,407399
2,244205
3,141996
4,82075
5,47606
6,27448
7,15515
8,8939
9,5227
10,3095
11,1746
12,1041
13,617
14,319
15,196
16,104
17,46
18,29
19,15
20,13
21,2
22,2
23,1
snapshot 90
0,583951
1,408057
2,246328
3,142227
4,81742
5,46816
6,27012
7,15637
8,9018
9,5032
10,2995
11,1737
12,1002
13,549
14,339
15,184
16,111
17,64
18,36
19,14
20,7
21,3
22,1
snapshot 95
0,584447
1,408676
2,244430
3,141859
4,81650
5,47445
6,27546
7,16060
8,9143
9,4995
10,2790
11,1616
12,903
13,538
14,296
15,206
16,105
17,76
18,48
19,17
20,9
21,6
22,1
snapshot 99
0,584647
1,405886
2,246071
3,142779
4,82117
5,47426
6,27683
7,15878
8,8845
9,5003
10,2904
11,1646
12,863
13,511
14,269
15,158
16,82
17,50
18,25
19,14
20,6
21,1
snapshot 100
0,584828
1,405667
2,242794
3,141423
4,82371
5,48011
6,28386
7,16500
8,9669
9,5577
10,3353
11,1796
12,1079
13,632
14,336
15,200
16,90
17,52
18,58
19,26
20,11
21,4
22,1
