snapshot 25
0,585219
1,407218
2,244447
3,142521
4,81860
5,46869
6,27207
7,15728
8,9015
9,5378
10,3085
11,1833
12,1074
13,625
14,330
15,185
16,110
17,77
18,27
19,29
20,8
21,6
22,6
23,7
snapshot 50
0,585671
1,408264
2,244576
3,142195
4,82468
5,47022
6,26898
7,15258
8,8588
9,5270
10,3032
11,1674
12,909
13,519
14,252
15,131
16,60
17,51
18,15
19,6
20,5
snapshot 75
0,586722
1,407710
2,244384
3,141034
4,81392
5,47189
6,27159
7,15494
8,9229
9,5172
10,3093
11,1878
12,1059
13,556
14,297
15,188
16,108
17,61
18,44
19,33
20,18
21,6
22,4
23,7
24,2
25,7
26,9
27,6
28,3
snapshot 90
0,587076
1,407742
2,244928
3,141243
4,81282
5,47193
6,27048
7,15548
8,8781
9,5018
10,2806
11,1595
12,912
13,646
14,351
15,225
16,163
17,88
18,70
19,38
20,17
21,18
22,15
23,20
24,15
25,13
26,8
27,4
28,1
snapshot 95
0,584731
1,406788
2,243674
3,141475
4,82279
5,47747
6,27760
7,15896
8,9330
9,5465
10,3283
11,1914
12,1078
13,601
14,354
15,199
16,117
17,73
18,45
19,33
20,11
21,5
22,4
23,2
snapshot 99
0,586106
1,407434
2,244476
3,141850
4,82437
5,47079
6,26914
7,15514
8,8839
9,5046
10,3071
11,1772
12,1018
13,588
14,350
15,201
16,94
17,35
18,28
19,12
snapshot 100
0,585278
1,406027
2,244503
3,142096
4,82397
5,47574
6,27294
7,15811
8,9179
9,5443
10,3249
11,1888
12,1023
13,501
14,264
15,145
16,84
17,55
18,17
19,8
20,8
21,4
22,2
23,2
24,2
25,3
26,2
27,3
