snapshot 25
0,586580
1,408893
2,245395
3,140879
4,80695
5,46619
6,26880
7,15427
8,8903
9,5172
10,2982
11,1845
12,1094
13,577
14,385
15,201
16,105
17,58
18,41
19,27
20,17
21,27
22,26
23,10
24,7
25,4
26,9
27,4
snapshot 50
0,585292
1,407257
2,246056
3,140893
4,81864
5,47141
6,27320
7,15895
8,9093
9,5263
10,2844
11,1662
12,931
13,550
14,328
15,189
16,135
17,51
18,32
19,19
20,11
21,23
22,13
snapshot 75
0,586455
1,407269
2,245048
3,142428
4,81841
5,46620
6,26724
7,15482
8,8812
9,5173
10,3005
11,1735
12,1059
13,587
14,318
15,181
16,75
17,31
18,9
19,4
20,3
21,2
22,1
snapshot 90
0,585228
1,408917
2,244568
3,141982
4,81907
5,47018
6,26951
7,15575
8,9071
9,5145
10,2903
11,1551
12,989
13,508
14,273
15,131
16,84
17,44
18,16
19,3
snapshot 95
0,585969
1,408222
2,245023
3,141385
4,81600
5,46980
6,26829
7,15478
8,8973
9,5023
10,3083
11,1830
12,1064
13,610
14,330
15,188
16,126
17,73
18,35
19,17
20,13
21,5
22,4
23,3
24,1
snapshot 99
0,585568
1,408340
2,244822
3,142489
4,82280
5,47078
6,26644
7,15417
8,8811
9,5031
10,2895
11,1615
12,893
13,498
14,267
15,129
16,58
17,21
18,5
19,3
snapshot 100
0,586297
1,407031
2,245458
3,141678
4,81704
5,46965
6,27371
7,15747
8,8882
9,4970
10,2816
11,1649
12,976
13,543
14,310
15,212
16,112
17,79
18,39
19,16
20,7
