snapshot 25
0,585782
1,406311
2,244421
3,141145
4,81616
5,47406
6,27788
7,16077
8,9400
9,5230
10,3061
11,1847
12,1091
13,631
14,399
15,252
16,170
17,98
18,50
19,27
20,29
21,22
22,7
23,2
snapshot 50
0,586241
1,408466
2,244158
3,140998
4,82246
5,47056
6,26992
7,15442
8,8844
9,5202
10,3071
11,1797
12,952
13,560
14,312
15,167
16,97
17,98
18,76
19,49
20,17
21,10
22,5
23,4
24,2
snapshot 75
0,586796
1,406465
2,244128
3,141490
4,81754
5,47039
6,27148
7,15845
8,9215
9,5489
10,3113
11,1886
12,1128
13,676
14,313
15,210
16,102
17,45
18,14
19,7
20,1
snapshot 90
0,583912
1,408098
2,244923
3,141919
4,81973
5,47700
6,27718
7,15873
8,9053
9,5049
10,2833
11,1633
12,983
13,563
14,296
15,145
16,75
17,31
18,25
19,15
20,5
21,2
22,4
23,6
24,9
25,5
26,4
27,7
28,4
29,1
snapshot 95
0,585693
1,407244
2,244942
3,142014
4,81763
5,47094
6,27292
7,15636
8,8956
9,5214
10,3004
11,1683
12,986
13,561
14,284
15,197
16,125
17,67
18,40
19,16
20,16
21,19
22,6
23,5
24,4
25,1
snapshot 99
0,584892
1,406337
2,244379
3,142444
4,81899
5,47765
6,27573
7,15718
8,9153
9,5253
10,3082
11,1899
12,1150
13,616
14,328
15,185
16,100
17,47
18,23
19,15
20,5
21,1
snapshot 100
0,585480
1,407828
2,244599
3,141756
4,81715
5,47378
6,27410
7,15980
8,8896
9,5131
10,2818
11,1561
12,944
13,566
14,327
15,170
16,86
17,73
18,73
19,47
20,17
21,6
22,3
