snapshot 25
0,586261
1,407592
2,243863
3,142284
4,82289
5,47290
6,27061
7,15705
8,8858
9,4929
10,2785
11,1650
12,1033
13,583
14,323
15,165
16,97
17,55
18,23
19,14
20,4
snapshot 50
0,587610
1,408146
2,244339
3,141032
4,81455
5,47051
6,26782
7,15490
8,8883
9,5141
10,2891
11,1645
12,954
13,607
14,342
15,215
16,148
17,55
18,25
19,23
20,19
21,7
snapshot 75
0,585353
1,408297
2,244992
3,141736
4,82056
5,47083
6,27062
7,15519
8,9084
9,5028
10,2896
11,1765
12,946
13,536
14,278
15,123
16,55
17,22
18,13
19,8
20,6
21,2
22,3
23,1
snapshot 90
0,585973
1,407633
2,244629
3,141530
4,81556
5,46877
6,27201
7,15522
8,8950
9,5351
10,3152
11,1943
12,1139
13,647
14,328
15,181
16,126
17,72
18,36
19,14
20,2
snapshot 95
0,584115
1,406222
2,245306
3,143264
4,82693
5,47298
6,27210
7,15514
8,9085
9,5301
10,3002
11,1715
12,1019
13,535
14,294
15,155
16,60
17,47
18,22
19,4
20,1
snapshot 99
0,584001
1,407852
2,244920
3,142652
4,81606
5,47023
6,27004
7,15998
8,9145
9,5331
10,3072
11,1767
12,1021
13,605
14,351
15,214
16,119
17,72
18,50
19,38
20,15
21,6
snapshot 100
0,587303
1,408046
2,244620
3,141403
4,81188
5,46363
6,27000
7,15550
8,8917
9,5272
10,3068
11,1756
12,979
13,564
14,331
15,202
16,133
17,83
18,47
19,16
20,12
21,7
22,3
23,1
