snapshot 25
0,586564
1,407916
2,244110
3,140854
4,81651
5,47625
6,27579
7,16075
8,9032
9,4998
10,2721
11,1601
12,929
13,564
14,274
15,163
16,101
17,51
18,22
19,16
20,13
21,1
snapshot 50
0,585243
1,407601
2,244280
3,141856
4,82114
5,47571
6,27457
7,15768
8,9041
9,5099
10,2914
11,1761
12,956
13,474
14,327
15,186
16,138
17,58
18,11
19,8
20,1
snapshot 75
0,585410
1,407296
2,244424
3,141940
4,82556
5,46727
6,27539
7,15804
8,8952
9,5090
10,3017
11,1801
12,1021
13,576
14,316
15,178
16,87
17,53
18,30
19,17
20,13
21,12
22,5
snapshot 90
0,584643
1,406378
2,244981
3,141936
4,82432
5,46987
6,27487
7,15922
8,9535
9,5535
10,3067
11,1732
12,961
13,597
14,337
15,166
16,69
17,42
18,24
19,18
20,9
21,3
22,1
snapshot 95
0,584159
1,407572
2,245733
3,142212
4,82400
5,47098
6,26966
7,15683
8,9003
9,5142
10,2931
11,1696
12,952
13,576
14,323
15,182
16,118
17,70
18,24
19,16
20,4
snapshot 99
0,585853
1,406354
2,243861
3,140991
4,82457
5,48159
6,27991
7,16069
8,9102
9,5236
10,3023
11,1722
12,936
13,540
14,293
15,139
16,71
17,40
18,11
19,11
20,3
21,2
snapshot 100
0,586807
1,408097
2,244200
3,141658
4,81892
5,46862
6,26666
7,15304
8,8941
9,5214
10,2955
11,1718
12,973
13,611
14,403
15,221
16,125
17,91
18,62
19,31
20,21
21,4
22,4
23,2
24,2
