snapshot 25
0,585266
1,406370
2,244709
3,141466
4,82146
5,47307
6,27730
7,16119
8,9328
9,5323
10,3078
11,1778
12,980
13,520
14,299
15,173
16,94
17,77
18,39
19,30
20,12
21,7
22,7
23,2
24,3
25,1
snapshot 50
0,587111
1,406468
2,244831
3,142110
4,81394
5,47334
6,26900
7,15500
8,9015
9,5193
10,2928
11,1734
12,985
13,564
14,384
15,201
16,111
17,55
18,32
19,9
20,3
21,2
snapshot 75
0,585343
1,407706
2,244462
3,141598
4,81903
5,47226
6,27127
7,15814
8,9143
9,5322
10,3132
11,1713
12,1033
13,548
14,337
15,209
16,92
17,59
18,43
19,25
20,14
21,9
22,4
23,2
snapshot 90
0,585889
1,408265
2,245513
3,140358
4,80624
5,46630
6,27524
7,15868
8,8937
9,5218
10,3239
11,1898
12,1128
13,702
14,416
15,266
16,160
17,93
18,59
19,38
20,20
21,11
22,2
23,2
snapshot 95
0,585304
1,406123
2,244349
3,142462
4,82469
5,47531
6,27376
7,15803
8,8926
9,5087
10,3095
11,1766
12,1049
13,623
14,332
15,238
16,159
17,79
18,48
19,32
20,8
21,4
22,1
snapshot 99
0,585088
1,407981
2,244076
3,141218
4,81764
5,47474
6,27253
7,15910
8,9119
9,5411
10,3195
11,1849
12,1026
13,642
14,405
15,208
16,104
17,79
18,36
19,17
20,5
snapshot 100
0,586587
1,407902
2,244302
3,141167
4,81457
5,46935
6,27077
7,15990
8,9182
9,5169
10,2910
11,1788
12,1049
13,578
14,350
15,186
16,122
17,58
18,21
19,16
20,10
21,3
22,3
