snapshot 25
0,585100
1,405888
2,243619
3,142244
4,81841
5,47498
6,27857
7,16140
8,9421
9,5529
10,3296
11,1844
12,978
13,594
14,360
15,270
16,168
17,100
18,42
19,33
20,21
21,16
22,4
23,1
snapshot 50
0,585067
1,407396
2,244038
3,142079
4,81794
5,47567
6,27459
7,16009
8,9092
9,5259
10,2911
11,1752
12,1061
13,568
14,318
15,191
16,131
17,54
18,31
19,13
20,9
21,23
22,14
23,19
24,7
25,2
snapshot 75
0,585802
1,407262
2,244791
3,141627
4,81972
5,47103
6,26910
7,15839
8,9214
9,5369
10,2918
11,1735
12,983
13,500
14,323
15,178
16,114
17,79
18,36
19,27
20,21
21,28
22,15
23,8
24,5
25,2
26,1
snapshot 90
0,583859
1,406905
2,246156
3,142927
4,82961
5,47335
6,27001
7,15498
8,8804
9,4997
10,2679
11,1424
12,941
13,535
14,291
15,186
16,136
17,73
18,76
19,44
20,17
21,11
22,4
23,2
snapshot 95
0,585734
1,407088
2,245738
3,142582
4,81662
5,47112
6,26686
7,15582
8,8870
9,5069
10,2881
11,1639
12,903
13,492
14,353
15,190
16,110
17,72
18,42
19,23
20,8
21,5
22,5
23,9
24,7
snapshot 99
0,585931
1,407665
2,244823
3,141686
4,81761
5,47484
6,27412
7,15238
8,8546
9,5192
10,3060
11,1709
12,1020
13,527
14,333
15,204
16,123
17,62
18,36
19,16
20,6
21,4
22,10
23,9
24,7
snapshot 100
0,585243
1,406046
2,244584
3,141895
4,82003
5,47242
6,27630
7,15993
8,9274
9,5441
10,3285
11,1860
12,1081
13,598
14,345
15,193
16,92
17,42
18,13
19,2
