snapshot 25
0,586326
1,408488
2,243784
3,141709
4,82082
5,47260
6,27065
7,15293
8,8748
9,5105
10,2927
11,1650
12,996
13,563
14,281
15,201
16,151
17,114
18,62
19,34
20,11
21,9
22,1
snapshot 50
0,586293
1,407206
2,244808
3,142792
4,82043
5,47023
6,26703
7,15444
8,8818
9,5020
10,2942
11,1663
12,963
13,506
14,285
15,163
16,107
17,48
18,21
19,14
20,1
21,1
snapshot 75
0,586550
1,406884
2,245686
3,142663
4,81537
5,46556
6,26676
7,15424
8,8762
9,5145
10,2954
11,1690
12,945
13,549
14,362
15,225
16,113
17,73
18,46
19,16
20,6
21,2
snapshot 90
0,586267
1,407489
2,244133
3,140843
4,81699
5,46806
6,27616
7,15954
8,9234
9,5353
10,3105
11,1735
12,1056
13,627
14,348
15,200
16,156
17,103
18,50
19,21
20,20
21,11
22,11
23,14
24,6
25,5
snapshot 95
0,583833
1,406081
2,244941
3,142247
4,82224
5,47968
6,27707
7,16289
8,9231
9,5228
10,2971
11,1739
12,955
13,572
14,328
15,233
16,137
17,71
18,56
19,24
20,18
21,9
22,2
snapshot 99
0,585439
1,407871
2,244372
3,141219
4,82327
5,47094
6,27170
7,15847
8,9278
9,5359
10,3051
11,1654
12,900
13,512
14,284
15,178
16,120
17,85
18,48
19,34
20,15
21,5
snapshot 100
0,585752
1,406528
2,244491
3,142357
4,82150
5,47234
6,27237
7,15795
8,9136
9,5296
10,3140
11,1685
12,843
13,464
14,290
15,181
16,116
17,65
18,51
19,24
20,15
21,8
22,2
