snapshot 25
0,367039
1,329278
2,261676
3,201147
4,155863
5,119628
6,91931
7,70598
8,54898
9,42108
10,32301
11,24848
12,19177
13,14910
14,11581
15,8644
16,6460
17,5006
18,4120
19,3276
20,2642
21,1960
22,1592
23,1138
24,754
25,571
26,440
27,314
28,254
29,221
30,166
31,123
32,84
33,39
34,39
35,51
36,37
37,17
38,11
39,18
40,14
41,8
42,16
43,6
44,3
45,1
snapshot 50
0,368009
1,330074
2,262174
3,203479
4,156193
5,119086
6,90603
7,70010
8,54375
9,42132
10,32309
11,24684
12,19284
13,14283
14,10817
15,8203
16,6580
17,5058
18,4043
19,3160
20,2464
21,1955
22,1482
23,1141
24,760
25,616
26,462
27,364
28,282
29,212
30,210
31,164
32,95
33,74
34,51
35,30
36,21
37,19
38,8
39,8
40,9
41,4
42,4
43,4
44,1
45,2
46,3
47,4
48,1
snapshot 75
0,366131
1,329816
2,261072
3,201617
4,154590
5,119717
6,92230
7,71627
8,55701
9,43020
10,32731
11,25396
12,19442
13,14781
14,11540
15,8757
16,6674
17,5068
18,3795
19,2866
20,2046
21,1530
22,1102
23,936
24,669
25,540
26,382
27,304
28,274
29,156
30,128
31,101
32,55
33,57
34,49
35,31
36,10
37,5
38,11
39,8
40,13
41,14
42,4
43,3
44,6
45,1
snapshot 90
0,366512
1,329281
2,260070
3,201672
4,155107
5,119891
6,92506
7,70810
8,54825
9,41782
10,32165
11,24594
12,18967
13,15013
14,11927
15,9052
16,6906
17,5596
18,4100
19,3128
20,2408
21,1894
22,1462
23,1049
24,795
25,675
26,592
27,445
28,366
29,270
30,196
31,155
32,111
33,124
34,94
35,96
36,56
37,67
38,60
39,59
40,45
41,29
42,17
43,16
44,6
45,8
46,6
47,1
snapshot 95
0,367389
1,328945
2,261537
3,202372
4,155395
5,119271
6,91844
7,70264
8,54914
9,42321
10,32622
11,25318
12,19329
13,14563
14,11104
15,8637
16,6530
17,5067
18,3840
19,2988
20,2156
21,1762
22,1392
23,1080
24,812
25,666
26,516
27,453
28,378
29,337
30,255
31,218
32,176
33,148
34,105
35,73
36,50
37,42
38,45
39,26
40,14
41,17
42,7
43,14
44,7
45,6
46,1
snapshot 99
0,366778
1,328961
2,261174
3,201426
4,154250
5,118874
6,91977
7,70982
8,54892
9,42164
10,32413
11,24777
12,19054
13,14992
14,11362
15,8789
16,7039
17,5460
18,4235
19,3358
20,2554
21,2076
22,1628
23,1279
24,1008
25,823
26,579
27,465
28,404
29,326
30,261
31,159
32,114
33,100
34,81
35,59
36,40
37,39
38,25
39,20
40,5
41,5
42,1
snapshot 100
0,365320
1,329918
2,262335
3,202558
4,155857
5,121047
6,92273
7,71324
8,54474
9,41923
10,32243
11,24637
12,19035
13,14369
14,11130
15,8359
16,6336
17,4882
18,3781
19,3027
20,2366
21,1854
22,1430
23,1121
24,859
25,633
26,449
27,432
28,343
29,245
30,156
31,103
32,63
33,48
34,32
35,16
36,17
37,8
38,2
39,3
