snapshot 25
0,367173
1,329761
2,262295
3,200619
4,155368
5,119566
6,92414
7,71059
8,54315
9,42112
10,33276
11,25772
12,19704
13,15079
14,11385
15,8820
16,6654
17,4850
18,3730
19,2654
20,1908
21,1438
22,1135
23,882
24,678
25,536
26,413
27,301
28,232
29,159
30,153
31,114
32,86
33,69
34,60
35,44
36,48
37,46
38,43
39,30
40,17
41,9
42,1
snapshot 50
0,367279
1,329844
2,262138
3,201528
4,154849
5,119112
6,92047
7,70168
8,54320
9,41977
10,32690
11,24913
12,19227
13,14812
14,11253
15,8808
16,6746
17,5207
18,3912
19,3187
20,2402
21,1884
22,1478
23,1095
24,832
25,634
26,511
27,378
28,297
29,245
30,207
31,216
32,184
33,133
34,115
35,65
36,76
37,60
38,55
39,45
40,44
41,21
42,10
43,4
snapshot 75
0,367011
1,328034
2,259552
3,200844
4,155010
5,120990
6,93238
7,71384
8,54839
9,42045
10,32663
11,25074
12,19308
13,14902
14,11479
15,9101
16,7140
17,5683
18,4307
19,3292
20,2354
21,1667
22,1332
23,982
24,740
25,587
26,436
27,275
28,218
29,159
30,134
31,58
32,38
33,32
34,33
35,23
36,20
37,14
38,8
39,2
snapshot 90
0,365872
1,328875
2,260849
3,203419
4,155146
5,119118
6,92124
7,71101
8,54522
9,41606
10,32637
11,25093
12,19605
13,14867
14,11447
15,8926
16,6939
17,5243
18,4163
19,3094
20,2294
21,1816
22,1393
23,1031
24,763
25,652
26,536
27,421
28,363
29,284
30,191
31,158
32,136
33,76
34,69
35,64
36,28
37,22
38,18
39,8
40,8
41,8
42,7
43,7
44,5
45,2
46,2
snapshot 95
0,366737
1,329373
2,261002
3,201186
4,156551
5,120288
6,92675
7,70905
8,54426
9,41879
10,32155
11,24645
12,18919
13,14532
14,11166
15,8559
16,6813
17,5340
18,4025
19,3126
20,2490
21,1988
22,1543
23,1144
24,839
25,545
26,469
27,333
28,282
29,194
30,134
31,110
32,85
33,54
34,55
35,59
36,66
37,71
38,63
39,54
40,35
41,26
42,29
43,17
44,8
45,5
46,1
47,2
48,3
49,2
snapshot 99
0,365702
1,327652
2,259485
3,201043
4,155843
5,120561
6,93186
7,70646
8,54299
9,41709
10,32035
11,24509
12,18933
13,14659
14,11806
15,8999
16,7075
17,5572
18,4581
19,3853
20,3141
21,2536
22,1857
23,1349
24,933
25,712
26,525
27,370
28,305
29,235
30,201
31,154
32,113
33,105
34,96
35,89
36,64
37,37
38,18
39,13
40,3
41,3
42,1
snapshot 100
0,365517
1,328246
2,261124
3,202360
4,156594
5,120165
6,91819
7,71697
8,54683
9,41903
10,31786
11,24230
12,18582
13,14563
14,11400
15,8835
16,7078
17,5499
18,4229
19,3077
20,2373
21,1825
22,1546
23,1183
24,949
25,754
26,608
27,440
28,319
29,289
30,277
31,208
32,202
33,155
34,114
35,79
36,49
37,52
38,19
39,17
40,17
41,18
42,15
43,15
44,17
45,14
46,9
47,21
48,19
49,11
50,5
