snapshot 25
0,366443
1,330244
2,262975
3,203959
4,156422
5,120087
6,92274
7,70054
8,53678
9,41336
10,31605
11,23889
12,18741
13,14479
14,10989
15,8319
16,6580
17,5336
18,4075
19,3223
20,2517
21,1892
22,1487
23,1160
24,866
25,657
26,518
27,387
28,246
29,171
30,122
31,92
32,70
33,53
34,36
35,16
36,7
37,3
snapshot 50
0,366422
1,329696
2,261772
3,202888
4,155732
5,119646
6,92786
7,71350
8,54633
9,41175
10,31327
11,24237
12,18489
13,14464
14,11203
15,8707
16,6804
17,5311
18,3894
19,3004
20,2444
21,2040
22,1596
23,1135
24,835
25,674
26,516
27,454
28,316
29,274
30,238
31,192
32,176
33,173
34,141
35,86
36,76
37,51
38,25
39,16
40,7
41,3
snapshot 75
0,366750
1,329314
2,261284
3,202525
4,156195
5,119526
6,92162
7,70914
8,55243
9,42765
10,32808
11,25451
12,19613
13,14648
14,10997
15,8455
16,6407
17,5026
18,3786
19,2883
20,2240
21,1669
22,1192
23,867
24,620
25,495
26,318
27,231
28,162
29,128
30,100
31,69
32,38
33,18
34,21
35,32
36,18
37,13
38,9
39,10
40,4
snapshot 90
0,365576
1,328441
2,259923
3,200782
4,154410
5,119041
6,91687
7,71005
8,54941
9,42407
10,32697
11,25301
12,19558
13,15298
14,11952
15,9027
16,7128
17,5576
18,4288
19,3358
20,2689
21,2079
22,1818
23,1406
24,1092
25,867
26,635
27,562
28,415
29,280
30,226
31,173
32,139
33,89
34,40
35,47
36,19
37,20
38,9
39,4
40,1
snapshot 95
0,365718
1,328951
2,261930
3,202174
4,156267
5,120438
6,92635
7,71019
8,54433
9,41628
10,31930
11,24942
12,18821
13,14391
14,11300
15,8886
16,6934
17,5257
18,4095
19,3136
20,2380
21,1929
22,1457
23,1047
24,799
25,556
26,438
27,343
28,299
29,218
30,188
31,112
32,88
33,63
34,37
35,23
36,33
37,25
38,27
39,21
40,14
41,15
42,5
snapshot 99
0,367073
1,329900
2,261955
3,202072
4,155652
5,120274
6,92440
7,71152
8,54533
9,41862
10,32124
11,24319
12,18550
13,14338
14,11331
15,8928
16,6715
17,5169
18,3962
19,3067
20,2218
21,1665
22,1158
23,990
24,775
25,587
26,525
27,394
28,292
29,227
30,180
31,159
32,100
33,81
34,74
35,62
36,38
37,25
38,19
39,13
40,6
41,3
42,1
snapshot 100
0,366384
1,330319
2,261387
3,202242
4,155199
5,118370
6,91838
7,70511
8,54460
9,42714
10,32585
11,25201
12,19561
13,15215
14,11705
15,8967
16,6766
17,5132
18,3882
19,2925
20,2124
21,1728
22,1345
23,1005
24,821
25,744
26,523
27,412
28,251
29,184
30,114
31,89
32,79
33,67
34,59
35,43
36,29
37,10
38,12
39,1
40,4
41,1
