snapshot 25
0,368362
1,329472
2,262136
3,202606
4,156066
5,120279
6,92427
7,70458
8,53794
9,41374
10,32531
11,24966
12,19275
13,14889
14,11392
15,8637
16,6482
17,4866
18,3723
19,2775
20,2090
21,1618
22,1207
23,900
24,683
25,509
26,400
27,248
28,211
29,140
30,90
31,50
32,36
33,19
34,29
35,21
36,22
37,23
38,30
39,29
40,20
41,9
42,15
43,21
44,26
45,23
46,20
47,4
48,2
49,1
snapshot 50
0,366738
1,328972
2,260619
3,200834
4,155140
5,119795
6,91680
7,70404
8,53968
9,42020
10,32724
11,25005
12,19631
13,15190
14,11906
15,8966
16,6880
17,5634
18,4403
19,3456
20,2605
21,2045
22,1512
23,1092
24,799
25,615
26,534
27,443
28,307
29,293
30,211
31,120
32,94
33,71
34,77
35,57
36,49
37,36
38,27
39,25
40,21
41,9
42,1
snapshot 75
0,367067
1,330037
2,262047
3,202657
4,155416
5,119634
6,92358
7,71103
8,54584
9,41823
10,31985
11,24527
12,19276
13,14978
14,11351
15,8515
16,6661
17,5086
18,3822
19,2779
20,2142
21,1575
22,1210
23,1031
24,824
25,640
26,423
27,345
28,252
29,200
30,178
31,125
32,94
33,69
34,59
35,52
36,27
37,13
38,20
39,13
40,6
41,2
snapshot 90
0,366657
1,330617
2,260949
3,201195
4,156515
5,120761
6,92190
7,70852
8,53867
9,41688
10,32218
11,24779
12,19191
13,14853
14,11399
15,8790
16,6741
17,5118
18,3941
19,2890
20,2193
21,1724
22,1405
23,1102
24,782
25,611
26,461
27,356
28,272
29,218
30,184
31,140
32,100
33,72
34,57
35,54
36,33
37,17
38,6
39,2
40,3
41,1
42,4
snapshot 95
0,366259
1,329726
2,260673
3,201918
4,156011
5,120348
6,92270
7,71335
8,54900
9,42209
10,32806
11,25481
12,19227
13,14475
14,11179
15,8370
16,6415
17,5146
18,4040
19,2980
20,2145
21,1668
22,1169
23,959
24,708
25,602
26,472
27,369
28,288
29,241
30,204
31,167
32,93
33,60
34,42
35,25
36,13
37,7
38,4
snapshot 99
0,365858
1,328482
2,260769
3,201095
4,154510
5,119537
6,91652
7,71185
8,55101
9,42899
10,33215
11,25742
12,19811
13,15151
14,11182
15,8779
16,6946
17,5330
18,4099
19,3063
20,2418
21,1832
22,1421
23,1099
24,845
25,626
26,540
27,405
28,311
29,264
30,183
31,139
32,134
33,124
34,96
35,58
36,34
37,34
38,22
39,8
40,5
41,2
snapshot 100
0,367306
1,330260
2,262294
3,202288
4,155334
5,120363
6,93264
7,71252
8,54514
9,41660
10,31606
11,24948
12,19079
13,14287
14,10839
15,8322
16,6361
17,4828
18,3855
19,2943
20,2336
21,1853
22,1327
23,938
24,654
25,524
26,435
27,295
28,286
29,219
30,180
31,122
32,73
33,61
34,39
35,34
36,18
37,6
38,1
39,2
