snapshot 25
0,670484
1,237104
2,67703
3,18200
4,4775
5,1231
6,364
7,94
8,24
9,16
10,3
snapshot 50
0,670324
1,237309
2,67812
3,18070
4,4823
5,1256
6,316
7,76
8,12
9,2
snapshot 75
0,669885
1,236648
2,68062
3,18717
4,4985
5,1268
6,329
7,89
8,14
9,1
snapshot 90
0,670308
1,237124
2,67928
3,18159
4,4787
5,1223
6,343
7,92
8,27
9,6
10,1
snapshot 95
0,670626
1,236802
2,68139
3,17999
4,4754
5,1214
6,336
7,99
8,27
9,4
snapshot 99
0,670439
1,237107
2,67602
3,18243
4,4877
5,1236
6,360
7,104
8,24
9,7
10,1
snapshot 100
0,670678
1,236530
2,68333
3,18053
4,4675
5,1265
6,312
7,97
8,26
9,14
10,11
11,2
