snapshot 25
0,670850
1,237325
2,67763
3,17904
4,4616
5,1197
6,278
7,56
8,7
9,2
snapshot 50
0,671014
1,236797
2,67643
3,18164
4,4672
5,1233
6,342
7,94
8,27
9,4
10,3
11,5
12,2
snapshot 75
0,668874
1,237660
2,68443
3,18525
4,4852
5,1257
6,310
7,63
8,14
snapshot 90
0,670245
1,237254
2,67643
3,18319
4,4795
5,1242
6,329
7,135
8,31
9,6
10,1
snapshot 95
0,670188
1,237242
2,67950
3,18220
4,4804
5,1212
6,300
7,58
8,16
9,3
10,2
11,1
snapshot 99
0,670942
1,236711
2,68098
3,18014
4,4512
5,1197
6,341
7,136
8,33
9,9
10,2
11,1
12,2
snapshot 100
0,670925
1,237108
2,67320
3,18144
4,4848
5,1227
6,324
7,80
8,19
9,2
10,1
