snapshot 25
0,669130
1,237698
2,68370
3,18162
4,4924
5,1249
6,340
7,92
8,30
9,2
10,1
snapshot 50
0,670914
1,236963
2,67423
3,18107
4,4768
5,1323
6,347
7,106
8,34
9,11
10,2
snapshot 75
0,669854
1,237647
2,67779
3,18270
4,4726
5,1242
6,335
7,103
8,34
9,7
10,1
snapshot 90
0,670629
1,236198
2,68305
3,18318
4,4771
5,1302
6,370
7,80
8,21
9,5
10,1
snapshot 95
0,670969
1,237559
2,67314
3,17852
4,4673
5,1250
6,300
7,61
8,11
9,10
10,1
snapshot 99
0,670209
1,236796
2,68042
3,18258
4,4811
5,1360
6,350
7,103
8,49
9,15
10,4
11,3
snapshot 100
0,670588
1,237052
2,67893
3,18065
4,4770
5,1214
6,294
7,96
8,15
9,9
10,2
