snapshot 25
0,670847
1,236608
2,68013
3,18129
4,4698
5,1295
6,302
7,79
8,23
9,5
10,1
snapshot 50
0,671561
1,237082
2,66924
3,17948
4,4749
5,1270
6,341
7,104
8,16
9,5
snapshot 75
0,670196
1,236134
2,68451
3,18571
4,4956
5,1253
6,332
7,90
8,16
9,1
snapshot 90
0,670472
1,237424
2,67577
3,18044
4,4698
5,1258
6,357
7,113
8,34
9,11
10,6
11,4
snapshot 95
0,669488
1,237524
2,68035
3,18293
4,4801
5,1381
6,350
7,84
8,27
9,11
10,2
snapshot 99
0,670884
1,237333
2,67347
3,18022
4,4710
5,1261
6,324
7,99
8,15
9,2
10,3
snapshot 100
0,670553
1,236953
2,68018
3,18082
4,4769
5,1204
6,313
7,79
8,19
9,10
