snapshot 25
0,669904
1,236529
2,68513
3,18371
4,4895
5,1327
6,342
7,85
8,21
9,8
10,1
snapshot 50
0,670270
1,237259
2,68056
3,18086
4,4671
5,1188
6,333
7,100
8,29
9,8
snapshot 75
0,668805
1,237947
2,68397
3,18435
4,4764
5,1270
6,310
7,52
8,16
9,2
10,2
snapshot 90
0,669745
1,237061
2,68041
3,18605
4,4781
5,1283
6,353
7,102
8,28
9,1
snapshot 95
0,669958
1,236727
2,68571
3,18316
4,4822
5,1187
6,290
7,80
8,28
9,13
10,4
11,4
snapshot 99
0,670095
1,237681
2,67571
3,18044
4,4840
5,1292
6,334
7,94
8,38
9,10
10,1
snapshot 100
0,670365
1,237244
2,67962
3,17868
4,4793
5,1329
6,346
7,81
8,10
9,2
