snapshot 25
0,670228
1,237199
2,68351
3,17823
4,4641
5,1222
6,386
7,110
8,31
9,6
10,2
11,1
snapshot 50
0,670934
1,236870
2,67685
3,18004
4,4860
5,1227
6,282
7,87
8,39
9,9
10,1
snapshot 75
0,670371
1,236857
2,68077
3,18193
4,4820
5,1244
6,321
7,82
8,22
9,8
10,4
11,1
snapshot 90
0,669583
1,236619
2,68575
3,18452
4,4926
5,1345
6,340
7,108
8,39
9,12
10,1
snapshot 95
0,671464
1,237013
2,67475
3,17838
4,4565
5,1195
6,336
7,84
8,20
9,3
10,1
11,2
12,2
13,2
snapshot 99
0,670199
1,237148
2,68051
3,18020
4,4877
5,1202
6,365
7,110
8,26
9,2
snapshot 100
0,671681
1,237019
2,67122
3,17850
4,4723
5,1217
6,289
7,76
8,17
9,6
