snapshot 25
0,670308
1,236893
2,68006
3,18258
4,4829
5,1271
6,307
7,96
8,20
9,8
10,2
snapshot 50
0,671155
1,236542
2,67464
3,18147
4,4811
5,1364
6,382
7,104
8,27
9,4
snapshot 75
0,669857
1,236458
2,68538
3,18300
4,5038
5,1347
6,324
7,85
8,28
9,14
10,6
11,1
snapshot 90
0,669511
1,237253
2,68339
3,18260
4,4811
5,1348
6,356
7,95
8,21
9,5
10,1
snapshot 95
0,670653
1,237494
2,67735
3,17946
4,4598
5,1184
6,307
7,70
8,11
snapshot 99
0,669666
1,237893
2,67983
3,18019
4,4847
5,1212
6,290
7,71
8,13
9,2
snapshot 100
0,669966
1,236944
2,68666
3,18053
4,4689
5,1163
6,370
7,101
8,40
9,5
10,1
