snapshot 25
0,670586
1,236707
2,67973
3,18302
4,4773
5,1227
6,305
7,87
8,32
9,7
10,1
snapshot 50
0,670381
1,237410
2,67591
3,18033
4,4821
5,1293
6,347
7,104
8,19
9,1
snapshot 75
0,669632
1,237346
2,68163
3,18203
4,4880
5,1305
6,338
7,87
8,26
9,13
10,5
11,2
snapshot 90
0,670970
1,237060
2,67289
3,18265
4,4675
5,1252
6,332
7,88
8,36
9,22
10,9
11,2
snapshot 95
0,669436
1,237634
2,68534
3,18115
4,4787
5,1172
6,247
7,58
8,15
snapshot 99
0,670231
1,237210
2,68035
3,18135
4,4671
5,1262
6,338
7,85
8,25
9,2
snapshot 100
0,670931
1,236874
2,67357
3,18111
4,4840
5,1327
6,382
7,124
8,40
9,8
10,5
11,1
