snapshot 25
0,670368
1,236825
2,68024
3,18536
4,4644
5,1219
6,294
7,67
8,15
9,3
10,1
snapshot 50
0,670854
1,236668
2,68121
3,18144
4,4593
5,1222
6,296
7,68
8,17
9,11
10,1
11,1
snapshot 75
0,670983
1,237262
2,67179
3,18064
4,4800
5,1215
6,347
7,98
8,37
9,11
10,2
snapshot 90
0,671263
1,236249
2,67716
3,18305
4,4677
5,1285
6,340
7,109
8,40
9,9
10,2
11,1
12,2
snapshot 95
0,671026
1,237286
2,67333
3,18156
4,4600
5,1190
6,300
7,87
8,17
9,3
snapshot 99
0,670703
1,237305
2,67320
3,17932
4,4887
5,1330
6,393
7,105
8,23
9,2
snapshot 100
0,670781
1,237008
2,67349
3,18086
4,4872
5,1344
6,426
7,107
8,22
9,5
