snapshot 25
0,670074
1,237664
2,67828
3,17959
4,4768
5,1309
6,300
7,80
8,14
snapshot 50
0,670473
1,237367
2,67793
3,18217
4,4641
5,1194
6,246
7,57
8,11
9,1
snapshot 75
0,670861
1,237180
2,67279
3,18103
4,4780
5,1320
6,355
7,87
8,28
9,6
10,1
snapshot 90
0,669818
1,237618
2,68136
3,18015
4,4691
5,1233
6,338
7,98
8,35
9,12
10,4
snapshot 95
0,670585
1,236853
2,67962
3,18130
4,4762
5,1269
6,317
7,90
8,25
9,4
10,1
snapshot 99
0,670056
1,237279
2,67667
3,18364
4,4931
5,1254
6,332
7,83
8,33
9,1
snapshot 100
0,669787
1,237627
2,68026
3,18108
4,4739
5,1239
6,315
7,92
8,49
9,14
10,4
